college_name,student_name,mentor_name,department_name,academic_year,total_students,total_departments,total_faculty,year_of_study,student_count,faculty_count,student_faculty_ratio,avg_attendance_pct,hackathon_id,hackathon_name,hackathon_type,conducting_body,participation_level,mode,total_registered_students,total_participants,teams_formed,departments_participated,female_participation_pct,projects_submitted,projects_completed,shortlisted_projects,prizes_won_count,prize_level,problem_solving_score_avg,students_placed,placement_percentage,avg_package_lpa,highest_package_lpa,companies_visited,hackathon_to_placement_ratio,internships_offered,ppo_offers,lab_utilization_pct,software_tools_used,budget_allocated,budget_utilized,cost_per_student,repeat_participants_pct,dropout_from_hackathon,attendance_vs_participation_corr,academic_vs_hackathon_corr,month,quarter,year,yoy_participation_growth,yoy_placement_growth
SRM Institute of Science and Technology,Arjun Patel 316,Dr. Kavita J.,CHEMICAL,2022-23,3564,9,232,1,155,13,19.7,72,H001,Smart India Hackathon,External,Government,National,Online,84,32,23,9,35,5,20,9,0,,81,63,55,5.3,22.5,39,0.7,25,10,83,AutoCAD,34,22,18321,28,6,0.51,0.47,September,Q3,2025,8,15
IIT Madras,Rohan Gupta 627,Prof. Lakshmi S.,MECH,2023-24,3042,9,195,4,83,8,18.1,79,H002,College Innovation Hackathon,Internal,College,College,Online,47,56,7,3,25,14,14,8,0,National,68,74,41,9.2,22.5,27,0.67,20,3,84,Python,28,25,15195,23,10,0.5,0.73,July,Q1,2024,7,4
Thiagarajar College of Engineering,Manoj Reddy 550,Prof. Venkatesh R.,ECE,2023-24,2763,9,191,2,144,7,10.4,84,H003,Industry CodeFest,External,Company,State,Online,41,88,16,9,35,18,2,6,3,State,71,84,51,5.1,15.6,14,0.32,20,9,86,Cloud,55,48,15999,25,11,0.6,0.57,March,Q1,2025,16,19
Anna University,Ishani Nair 353,Prof. Lakshmi S.,AI&DS,2024-25,3528,9,221,4,159,10,11.8,80,H002,College Innovation Hackathon,Internal,College,College,Online,23,50,4,9,40,19,13,9,1,State,63,93,82,4.9,17.1,35,0.76,8,7,91,Cloud,42,29,17885,35,13,0.77,0.68,January,Q3,2023,23,10
Vellore Institute of Technology (VIT),Pranav Kumar 575,Prof. Lakshmi S.,CIVIL,2023-24,2577,9,191,3,74,9,16.0,70,H001,Smart India Hackathon,External,Government,National,Offline,20,57,22,4,18,13,7,5,0,College,64,180,85,9.0,21.2,37,0.56,28,2,78,Cloud,57,24,20514,39,13,0.5,0.46,September,Q4,2024,10,15
Vellore Institute of Technology (VIT),Sriya Kumar 794,Prof. Ramesh B.,MECH,2023-24,3910,9,217,2,92,8,17.3,92,H002,College Innovation Hackathon,Internal,College,College,Offline,118,87,4,4,30,22,9,10,0,,64,114,87,4.0,13.9,20,0.38,10,10,83,Python,36,31,19088,24,14,0.55,0.44,January,Q1,2025,19,17
Kumaraguru College of Technology,Nisha Reddy 142,Dr. Kavita J.,EEE,2023-24,3219,9,249,4,156,7,18.3,95,H002,College Innovation Hackathon,Internal,College,College,Online,40,72,5,9,12,12,2,5,2,College,62,117,50,8.8,10.7,12,0.57,10,10,93,Embedded,50,19,22066,30,16,0.51,0.44,March,Q2,2025,22,12
Amrita Vishwa Vidyapeetham,Sriya Reddy 175,Prof. Aruna D.,CHEMICAL,2022-23,2601,9,230,3,206,14,18.4,74,H001,Smart India Hackathon,External,Government,National,Online,66,15,16,3,28,24,22,9,3,State,63,36,53,4.5,13.0,12,0.54,12,9,80,Cloud,51,34,16493,54,15,0.52,0.75,July,Q2,2025,6,12
Amrita Vishwa Vidyapeetham,Nisha Nair 626,Dr. Suresh T.,CIVIL,2022-23,3050,9,252,4,75,8,17.5,91,H002,College Innovation Hackathon,Internal,College,College,Online,30,100,14,9,44,16,20,3,0,,86,163,66,9.3,19.7,39,0.54,20,15,74,Python,45,20,23226,53,7,0.5,0.7,March,Q2,2023,11,8
Kumaraguru College of Technology,Rahul Nair 859,Prof. Aruna D.,CSE,2024-25,3391,9,205,4,220,8,18.3,78,H001,Smart India Hackathon,External,Government,National,Offline,113,23,5,6,45,15,19,5,2,,89,33,90,7.7,18.0,35,0.51,31,4,64,Embedded,57,55,27425,26,6,0.68,0.44,July,Q3,2025,13,16
PSG College of Technology,Abhishek Das 955,Dr. Amit V.,CIVIL,2022-23,3064,9,231,4,96,15,16.1,92,H001,Smart India Hackathon,External,Government,National,Offline,24,65,13,8,25,4,17,4,2,College,70,107,59,5.2,16.4,32,0.64,19,4,74,Cloud,40,35,26940,46,5,0.53,0.48,September,Q4,2024,6,20
IIT Madras,Pranav Nair 312,Prof. Aruna D.,EEE,2024-25,3537,9,231,1,94,14,18.8,70,H002,College Innovation Hackathon,Internal,College,College,Online,44,40,4,4,12,17,3,5,1,National,71,148,72,5.9,23.7,31,0.32,28,15,93,Cloud,31,48,24615,55,14,0.59,0.74,July,Q1,2024,5,16
Coimbatore Institute of Technology (CIT),Sanjay Patel 154,Dr. Sunita M.,CSE,2022-23,2953,9,208,2,112,10,16.5,86,H003,Industry CodeFest,External,Company,State,Online,119,16,18,4,21,22,2,3,2,National,82,194,57,6.0,14.4,21,0.53,18,14,74,Embedded,59,43,24576,26,3,0.65,0.66,July,Q3,2024,8,19
Coimbatore Institute of Technology (CIT),Sriya Das 446,Dr. Kavita J.,ECE,2024-25,3165,9,215,3,126,10,11.9,86,H002,College Innovation Hackathon,Internal,College,College,Online,27,91,15,8,30,24,6,0,3,National,68,137,65,5.8,8.6,32,0.8,17,10,69,Embedded,60,48,26007,42,12,0.79,0.74,March,Q3,2022,20,8
SRM Institute of Science and Technology,Aditi Verma 763,Dr. Amit V.,CHEMICAL,2023-24,3840,9,191,2,116,11,12.2,79,H003,Industry CodeFest,External,Company,State,Offline,120,57,14,5,28,17,5,7,0,College,75,79,72,4.2,19.6,26,0.45,8,4,63,MATLAB,41,44,24329,49,7,0.58,0.69,January,Q4,2024,25,9
Anna University,Aditi Kumar 201,Dr. Suresh T.,PETROLEUM,2023-24,3060,9,206,1,103,15,17.6,85,H001,Smart India Hackathon,External,Government,National,Online,36,93,16,8,37,15,15,7,3,College,61,166,52,7.9,24.2,38,0.46,38,6,56,Python,60,33,18707,42,12,0.5,0.55,July,Q2,2022,6,13
Vellore Institute of Technology (VIT),Divya Das 286,Prof. Ramesh B.,CHEMICAL,2024-25,3721,9,247,4,146,12,18.9,74,H003,Industry CodeFest,External,Company,State,Offline,82,60,9,4,35,3,9,3,1,State,83,35,77,6.5,10.1,32,0.63,7,12,95,AutoCAD,54,57,15796,23,6,0.71,0.41,January,Q4,2025,17,7
Coimbatore Institute of Technology (CIT),Manoj Kumar 412,Dr. Meenakshi P.,AI&DS,2024-25,2813,9,206,3,62,10,14.2,73,H002,College Innovation Hackathon,Internal,College,College,Offline,99,92,25,4,36,6,18,9,0,National,63,57,71,4.7,11.4,18,0.72,17,11,81,AutoCAD,30,20,23980,51,9,0.73,0.59,March,Q1,2022,7,7
PSG College of Technology,Nisha Das 953,Dr. Kavita J.,CIVIL,2024-25,2653,9,192,2,125,9,14.6,79,H001,Smart India Hackathon,External,Government,National,Offline,79,21,6,9,21,4,11,5,2,,83,59,46,8.6,23.1,10,0.73,15,10,77,Cloud,59,35,27010,25,14,0.78,0.47,September,Q4,2025,13,16
Vellore Institute of Technology (VIT),Meera Singh 534,Dr. Sunita M.,CIVIL,2022-23,2731,9,196,4,75,8,11.0,88,H003,Industry CodeFest,External,Company,State,Offline,92,71,8,7,34,14,21,0,1,,89,154,47,8.8,15.5,12,0.43,25,0,88,Embedded,56,32,25974,41,6,0.62,0.69,September,Q3,2025,9,5
SRM Institute of Science and Technology,Pooja Verma 197,Prof. Venkatesh R.,CSE,2023-24,3515,9,201,2,79,13,13.2,80,H003,Industry CodeFest,External,Company,State,Offline,26,79,10,7,34,15,9,1,3,,85,176,68,4.0,16.5,20,0.36,36,0,61,Cloud,46,20,24128,55,3,0.78,0.72,July,Q2,2025,15,15
Kumaraguru College of Technology,Rahul Sharma 670,Dr. Meenakshi P.,CSE,2023-24,3647,9,259,2,213,13,17.2,81,H002,College Innovation Hackathon,Internal,College,College,Offline,34,27,24,4,10,13,13,10,2,National,82,57,42,8.9,16.4,36,0.66,31,3,71,Embedded,32,30,16978,45,9,0.63,0.71,July,Q1,2025,6,7
PSG College of Technology,Divya Gupta 887,Prof. Venkatesh R.,CIVIL,2024-25,3532,9,197,4,187,6,15.3,71,H003,Industry CodeFest,External,Company,State,Offline,94,76,19,9,21,25,20,2,1,College,72,198,78,7.1,13.5,38,0.49,20,8,80,AutoCAD,38,46,17185,28,16,0.69,0.75,July,Q3,2023,11,10
Kumaraguru College of Technology,Karthik Kumar 455,Dr. Sunita M.,CHEMICAL,2022-23,3954,9,202,3,188,14,16.9,80,H003,Industry CodeFest,External,Company,State,Online,117,60,20,6,36,24,19,4,3,College,76,57,41,5.8,8.9,11,0.4,15,9,71,MATLAB,23,36,18342,54,4,0.59,0.58,March,Q4,2023,21,13
SRM Institute of Science and Technology,Pranav Reddy 160,Dr. Sunita M.,CSE,2023-24,3903,9,220,4,201,6,10.1,78,H002,College Innovation Hackathon,Internal,College,College,Online,99,71,10,8,33,21,19,9,1,State,69,144,51,9.4,9.3,40,0.39,37,3,79,Python,47,35,24119,36,7,0.51,0.74,January,Q3,2025,9,5
PSG College of Technology,Sanjay Iyer 643,Dr. Kavita J.,EEE,2022-23,3780,9,258,3,137,13,17.9,87,H003,Industry CodeFest,External,Company,State,Offline,29,55,19,4,21,19,4,8,1,,77,167,65,4.1,11.8,16,0.63,26,11,73,MATLAB,59,51,22780,55,3,0.5,0.54,March,Q2,2022,15,16
Thiagarajar College of Engineering,Karthik Das 915,Prof. Lakshmi S.,ECE,2024-25,3982,9,216,4,66,14,18.2,81,H002,College Innovation Hackathon,Internal,College,College,Offline,82,20,12,8,22,13,18,1,0,State,90,167,74,3.5,9.1,31,0.61,18,13,61,MATLAB,54,45,25593,24,7,0.46,0.69,January,Q1,2022,6,9
SASTRA Deemed University,Nisha Kumar 650,Prof. Venkatesh R.,CHEMICAL,2022-23,3029,9,232,1,159,13,16.3,83,H003,Industry CodeFest,External,Company,State,Offline,22,64,24,3,44,3,22,9,0,College,82,48,62,9.1,9.8,35,0.64,10,9,83,Cloud,45,19,22765,30,10,0.5,0.56,July,Q2,2024,25,15
SRM Institute of Science and Technology,Arjun Kumar 110,Dr. Meenakshi P.,CSE,2022-23,2510,9,253,2,212,12,15.4,72,H001,Smart India Hackathon,External,Government,National,Offline,46,59,9,6,42,7,7,2,1,National,66,59,51,7.5,17.6,11,0.73,40,14,90,Python,38,22,19107,26,9,0.74,0.59,July,Q3,2023,25,11
PSG College of Technology,Sanjay Gupta 833,Dr. Kavita J.,ECE,2022-23,2896,9,220,3,184,13,13.3,91,H003,Industry CodeFest,External,Company,State,Offline,108,89,7,7,33,13,15,2,0,National,67,86,85,7.9,15.4,36,0.48,26,15,84,Cloud,42,37,22978,55,6,0.52,0.64,July,Q2,2023,13,6
PSG College of Technology,Rahul Singh 407,Prof. Aruna D.,ECE,2024-25,2563,9,254,1,208,12,17.7,76,H003,Industry CodeFest,External,Company,State,Online,90,48,20,7,40,23,6,5,3,State,88,180,86,8.6,10.3,26,0.56,30,11,87,Python,35,57,26209,30,7,0.63,0.47,March,Q4,2024,6,11
Amrita Vishwa Vidyapeetham,Priya Das 835,Prof. Aruna D.,CIVIL,2023-24,3256,9,209,2,70,9,15.2,95,H001,Smart India Hackathon,External,Government,National,Offline,69,75,17,3,12,23,12,1,2,National,78,169,76,4.5,19.1,21,0.59,9,8,79,MATLAB,53,43,20781,42,18,0.77,0.75,January,Q2,2025,10,11
Coimbatore Institute of Technology (CIT),Pooja Nair 206,Prof. Ramesh B.,ECE,2022-23,2882,9,200,3,152,15,17.2,73,H001,Smart India Hackathon,External,Government,National,Online,73,57,6,6,40,18,8,9,1,,60,92,42,4.3,18.1,14,0.61,7,4,58,MATLAB,36,29,23464,45,3,0.8,0.69,July,Q1,2023,19,19
Kumaraguru College of Technology,Rohan Sharma 681,Dr. Sunita M.,CIVIL,2023-24,3730,9,198,2,209,8,16.2,86,H001,Smart India Hackathon,External,Government,National,Offline,41,58,17,7,14,10,14,6,1,College,60,81,73,8.7,16.6,23,0.71,11,5,85,Embedded,58,20,27842,54,6,0.49,0.66,January,Q4,2025,16,5
PSG College of Technology,Rohan Reddy 703,Dr. Sunita M.,AI&DS,2023-24,3280,9,224,4,210,15,11.0,74,H001,Smart India Hackathon,External,Government,National,Offline,81,44,5,5,44,16,10,3,0,College,78,163,47,6.6,14.4,16,0.64,25,13,78,Python,29,45,25675,36,11,0.79,0.57,July,Q3,2025,11,17
Anna University,Nisha Verma 148,Prof. Lakshmi S.,AI&DS,2023-24,3645,9,251,4,183,10,19.9,88,H001,Smart India Hackathon,External,Government,National,Offline,119,65,7,9,17,10,16,2,0,State,76,132,90,5.5,17.4,32,0.64,8,5,79,Python,25,27,22727,47,5,0.48,0.49,January,Q1,2025,17,20
Anna University,Aditi Singh 250,Dr. Rajesh K.,CHEMICAL,2024-25,3512,9,236,1,62,9,18.5,95,H001,Smart India Hackathon,External,Government,National,Offline,44,19,22,7,43,25,9,9,1,College,71,91,81,3.5,10.7,18,0.69,27,12,80,Embedded,32,51,15251,24,5,0.67,0.69,July,Q3,2024,12,10
Coimbatore Institute of Technology (CIT),Nisha Das 413,Prof. Venkatesh R.,CIVIL,2022-23,3034,9,202,4,164,14,11.1,72,H003,Industry CodeFest,External,Company,State,Offline,63,29,19,5,44,21,10,7,3,,84,92,88,5.5,21.2,31,0.53,6,15,62,AutoCAD,24,42,25381,34,10,0.77,0.56,July,Q1,2024,12,13
Vellore Institute of Technology (VIT),Karthik Nair 914,Dr. Meenakshi P.,ECE,2024-25,3200,9,189,4,201,8,14.8,81,H003,Industry CodeFest,External,Company,State,Online,93,49,8,8,22,18,8,3,1,National,66,88,52,8.5,22.2,21,0.38,11,3,60,Cloud,59,18,27521,54,4,0.79,0.55,July,Q4,2024,20,9
Vellore Institute of Technology (VIT),Ananya Reddy 608,Prof. Ramesh B.,AI&DS,2022-23,3681,9,196,3,73,14,18.0,85,H002,College Innovation Hackathon,Internal,College,College,Online,84,59,15,9,21,17,5,8,3,National,82,32,40,7.5,14.5,13,0.46,21,5,90,AutoCAD,35,35,22722,41,14,0.52,0.57,September,Q3,2024,17,12
Thiagarajar College of Engineering,Meera Reddy 612,Dr. Rajesh K.,CIVIL,2022-23,3679,9,209,2,85,10,18.0,87,H003,Industry CodeFest,External,Company,State,Offline,68,40,7,9,19,18,2,2,3,,64,191,73,6.7,13.4,25,0.45,40,1,80,Python,30,21,18530,36,18,0.79,0.44,July,Q3,2024,16,12
Vellore Institute of Technology (VIT),Karthik Nair 877,Dr. Rajesh K.,PETROLEUM,2022-23,3219,9,257,1,110,15,15.8,90,H002,College Innovation Hackathon,Internal,College,College,Online,119,51,14,5,42,18,16,1,3,National,74,191,49,8.7,18.9,39,0.47,30,2,60,MATLAB,41,32,20136,40,12,0.73,0.64,September,Q3,2025,16,20
Anna University,Nisha Verma 653,Dr. Amit V.,CIVIL,2022-23,2547,9,196,4,120,10,19.4,92,H001,Smart India Hackathon,External,Government,National,Online,46,36,15,3,16,5,17,8,0,College,84,131,73,8.1,9.4,18,0.61,10,12,74,MATLAB,35,36,22260,28,7,0.66,0.47,January,Q3,2024,20,18
Vellore Institute of Technology (VIT),Pranav Verma 931,Prof. Aruna D.,AI&DS,2023-24,2776,9,249,3,105,15,16.0,90,H003,Industry CodeFest,External,Company,State,Offline,87,96,23,7,29,14,17,8,1,College,74,108,63,6.0,10.6,10,0.3,13,11,73,Cloud,54,18,26268,51,18,0.57,0.71,July,Q2,2022,22,15
Coimbatore Institute of Technology (CIT),Vikram Reddy 983,Prof. Aruna D.,MECH,2023-24,3308,9,211,4,101,12,18.3,77,H003,Industry CodeFest,External,Company,State,Offline,30,69,23,4,43,22,23,4,2,National,73,78,94,3.9,10.3,13,0.62,33,8,94,Cloud,32,38,15317,29,4,0.84,0.41,January,Q3,2024,9,18
Anna University,Ishani Sharma 728,Prof. Lakshmi S.,CSE,2022-23,2530,9,243,2,115,11,14.2,95,H001,Smart India Hackathon,External,Government,National,Offline,67,74,25,9,12,13,4,2,0,National,84,130,44,6.8,11.1,38,0.72,29,0,62,MATLAB,44,46,19049,22,9,0.63,0.71,March,Q4,2025,14,14
IIT Madras,Abhishek Sharma 455,Dr. Meenakshi P.,EEE,2024-25,3566,9,195,1,124,13,16.4,76,H003,Industry CodeFest,External,Company,State,Offline,26,100,9,3,25,23,15,5,0,State,85,100,77,4.2,21.4,10,0.78,35,4,78,Python,35,28,23190,25,13,0.82,0.8,January,Q1,2024,25,8
IIT Madras,Arjun Reddy 931,Dr. Sunita M.,AI&DS,2023-24,2976,9,220,1,202,11,18.1,84,H001,Smart India Hackathon,External,Government,National,Online,22,63,14,8,18,11,3,7,3,National,77,155,52,6.9,17.2,20,0.67,22,5,59,Embedded,29,46,19844,36,14,0.63,0.71,September,Q2,2022,24,15
Anna University,Vikram Nair 636,Dr. Rajesh K.,MECH,2022-23,3848,9,248,3,159,9,15.2,85,H003,Industry CodeFest,External,Company,State,Online,98,51,13,6,30,6,5,8,0,College,86,63,51,8.7,11.4,25,0.4,7,12,86,Embedded,59,55,19193,23,14,0.54,0.69,January,Q2,2025,7,18
PSG College of Technology,Manoj Sharma 608,Dr. Amit V.,CSE,2024-25,3351,9,227,3,74,15,12.7,71,H003,Industry CodeFest,External,Company,State,Online,58,24,9,7,16,6,9,8,3,State,66,164,82,5.0,18.6,15,0.58,40,13,61,Embedded,42,47,26510,47,6,0.52,0.47,September,Q3,2023,22,18
Vellore Institute of Technology (VIT),Arjun Nair 258,Dr. Amit V.,PETROLEUM,2023-24,3261,9,232,3,170,11,16.1,88,H003,Industry CodeFest,External,Company,State,Online,68,85,11,5,38,17,14,0,0,National,79,34,73,4.3,23.1,10,0.45,19,6,75,Python,37,53,23376,55,7,0.49,0.58,March,Q2,2024,16,11
Amrita Vishwa Vidyapeetham,Ishani Verma 170,Prof. Lakshmi S.,MECH,2022-23,3668,9,231,3,205,9,17.3,93,H002,College Innovation Hackathon,Internal,College,College,Offline,81,37,18,9,16,22,22,4,0,,62,44,89,5.5,23.0,23,0.51,12,7,93,Python,60,58,21266,23,12,0.66,0.53,March,Q3,2023,9,5
PSG College of Technology,Priya Kumar 165,Prof. Lakshmi S.,PHARMACY,2024-25,3533,9,191,4,116,12,12.9,82,H003,Industry CodeFest,External,Company,State,Online,36,58,5,6,13,20,14,4,0,,76,141,89,7.7,21.0,25,0.58,36,12,91,MATLAB,55,57,27053,53,10,0.55,0.51,September,Q3,2022,8,17
Thiagarajar College of Engineering,Divya Verma 143,Dr. Kavita J.,PHARMACY,2022-23,3156,9,224,3,212,6,17.7,75,H002,College Innovation Hackathon,Internal,College,College,Offline,98,71,22,4,38,4,9,3,2,State,84,51,47,7.9,12.1,29,0.76,23,0,76,Python,39,46,22719,21,13,0.53,0.62,March,Q3,2025,24,8
Thiagarajar College of Engineering,Vikram Sharma 618,Prof. Ramesh B.,CSE,2024-25,3578,9,185,4,125,8,10.6,76,H003,Industry CodeFest,External,Company,State,Offline,26,74,23,3,14,15,23,4,2,College,60,104,95,8.8,14.6,22,0.55,11,10,86,Embedded,54,23,18054,32,17,0.67,0.68,January,Q2,2024,15,19
Amrita Vishwa Vidyapeetham,Rohan Verma 678,Dr. Amit V.,PHARMACY,2023-24,3901,9,225,2,150,10,12.4,86,H001,Smart India Hackathon,External,Government,National,Offline,27,95,11,6,11,20,10,3,1,National,88,130,82,4.3,20.4,26,0.78,19,13,70,Embedded,29,45,20118,41,17,0.67,0.48,March,Q2,2023,14,20
Amrita Vishwa Vidyapeetham,Pranav Reddy 786,Prof. Lakshmi S.,EEE,2024-25,3656,9,200,4,141,7,15.6,93,H001,Smart India Hackathon,External,Government,National,Online,43,55,7,8,11,13,15,6,2,,83,193,87,5.1,21.2,13,0.37,6,8,93,Embedded,59,32,24770,34,10,0.72,0.54,September,Q2,2025,25,15
Anna University,Deepak Sharma 888,Dr. Amit V.,EEE,2023-24,2781,9,200,4,109,9,10.3,94,H002,College Innovation Hackathon,Internal,College,College,Online,54,67,10,8,22,9,4,2,3,,82,113,95,6.2,12.2,22,0.69,29,10,80,Embedded,56,56,23784,53,4,0.66,0.58,January,Q2,2025,6,16
IIT Madras,Arjun Iyer 871,Prof. Venkatesh R.,AI&DS,2023-24,3400,9,230,1,137,10,14.6,83,H001,Smart India Hackathon,External,Government,National,Offline,98,21,25,7,19,17,22,7,0,College,65,179,84,6.8,14.7,20,0.53,16,14,92,MATLAB,49,23,19097,40,8,0.74,0.45,January,Q4,2024,7,20
Anna University,Manoj Verma 300,Dr. Suresh T.,PHARMACY,2024-25,3279,9,185,2,103,11,15.7,91,H002,College Innovation Hackathon,Internal,College,College,Online,40,33,8,9,13,16,11,4,3,National,80,76,47,8.9,24.3,10,0.61,21,0,84,Cloud,51,52,15094,51,10,0.54,0.66,September,Q4,2025,7,4
Amrita Vishwa Vidyapeetham,Sriya Kumar 842,Prof. Aruna D.,MECH,2024-25,3641,9,206,3,72,8,11.5,90,H003,Industry CodeFest,External,Company,State,Offline,24,33,4,8,29,13,4,0,0,,65,71,83,5.2,19.2,32,0.6,40,5,84,Embedded,43,20,16525,39,13,0.6,0.55,January,Q4,2022,14,19
Anna University,Sanjay Verma 357,Dr. Suresh T.,EEE,2023-24,3174,9,247,1,165,14,12.1,76,H003,Industry CodeFest,External,Company,State,Online,33,88,23,7,15,18,21,4,3,National,68,164,76,9.5,14.0,14,0.61,36,15,86,MATLAB,59,32,26609,38,9,0.45,0.41,January,Q2,2025,18,5
IIT Madras,Ishani Iyer 762,Prof. Venkatesh R.,PETROLEUM,2024-25,2934,9,181,3,111,10,12.5,72,H003,Industry CodeFest,External,Company,State,Offline,58,79,20,5,10,6,23,5,2,,83,175,79,9.3,22.1,16,0.47,26,15,85,Python,28,48,17545,49,13,0.63,0.73,January,Q3,2024,22,4
SRM Institute of Science and Technology,Sriya Singh 313,Dr. Rajesh K.,MECH,2022-23,2805,9,215,3,67,11,19.8,90,H002,College Innovation Hackathon,Internal,College,College,Online,93,92,15,4,17,12,12,0,2,,62,157,55,5.7,22.1,19,0.41,24,5,62,AutoCAD,22,30,16517,48,3,0.77,0.76,March,Q2,2024,20,20
SASTRA Deemed University,Karthik Patel 946,Dr. Amit V.,CHEMICAL,2022-23,3557,9,196,3,112,6,14.6,92,H001,Smart India Hackathon,External,Government,National,Online,20,54,4,8,15,13,16,0,0,National,60,177,88,5.4,23.2,20,0.4,23,8,89,AutoCAD,48,25,19467,29,8,0.56,0.41,January,Q2,2024,22,14
PSG College of Technology,Meera Nair 752,Dr. Amit V.,CHEMICAL,2023-24,3675,9,211,2,103,7,13.1,80,H003,Industry CodeFest,External,Company,State,Offline,26,31,3,6,13,6,14,0,0,,72,75,85,7.1,18.1,36,0.65,33,11,74,AutoCAD,32,52,16286,49,7,0.49,0.72,September,Q1,2025,14,18
Coimbatore Institute of Technology (CIT),Divya Gupta 675,Prof. Lakshmi S.,CIVIL,2022-23,3763,9,213,2,153,12,11.8,91,H001,Smart India Hackathon,External,Government,National,Offline,120,56,17,6,11,5,17,1,2,,74,73,58,8.1,18.3,14,0.55,30,3,75,Embedded,24,37,23728,49,15,0.69,0.5,March,Q2,2025,17,6
Amrita Vishwa Vidyapeetham,Aditi Verma 294,Prof. Venkatesh R.,PETROLEUM,2024-25,3382,9,235,2,205,11,15.4,77,H003,Industry CodeFest,External,Company,State,Online,104,100,5,8,41,6,20,9,3,National,77,54,92,6.2,13.2,22,0.33,11,12,75,Cloud,23,23,18565,28,3,0.75,0.66,September,Q3,2025,24,18
PSG College of Technology,Deepak Patel 243,Prof. Lakshmi S.,MECH,2023-24,3113,9,252,2,137,12,17.2,81,H003,Industry CodeFest,External,Company,State,Online,94,16,22,7,35,7,11,0,2,College,60,173,92,9.4,9.9,19,0.73,20,13,92,Cloud,60,38,26661,44,15,0.6,0.62,March,Q4,2023,11,16
Kumaraguru College of Technology,Rahul Verma 691,Dr. Rajesh K.,PETROLEUM,2023-24,3872,9,196,4,94,6,10.7,70,H001,Smart India Hackathon,External,Government,National,Online,112,77,24,6,18,5,6,10,3,,88,184,67,7.2,15.7,23,0.58,33,12,77,MATLAB,31,45,24905,20,18,0.79,0.49,July,Q4,2024,6,5
Thiagarajar College of Engineering,Rahul Patel 878,Prof. Ramesh B.,CIVIL,2024-25,3486,9,190,3,96,14,19.8,94,H001,Smart India Hackathon,External,Government,National,Offline,79,81,5,7,15,10,17,10,0,National,79,43,61,6.7,8.2,24,0.56,35,10,81,AutoCAD,38,36,17744,22,12,0.74,0.63,January,Q4,2023,23,5
Anna University,Abhishek Das 127,Dr. Amit V.,CHEMICAL,2023-24,2668,9,196,1,189,7,18.5,78,H002,College Innovation Hackathon,Internal,College,College,Offline,36,93,11,5,26,3,5,9,1,State,81,144,63,8.3,12.4,32,0.42,16,1,76,Python,29,56,17525,51,16,0.76,0.5,September,Q2,2023,23,15
SASTRA Deemed University,Sneha Sharma 560,Dr. Sunita M.,CSE,2022-23,2843,9,239,3,162,13,13.0,93,H001,Smart India Hackathon,External,Government,National,Online,68,64,18,5,19,19,15,0,2,,72,110,73,7.6,8.7,39,0.57,27,13,94,AutoCAD,41,35,19375,26,11,0.71,0.56,March,Q2,2024,10,14
Kumaraguru College of Technology,Ananya Patel 691,Dr. Sunita M.,AI&DS,2022-23,2639,9,181,1,165,7,15.3,91,H003,Industry CodeFest,External,Company,State,Offline,64,43,12,5,22,4,2,9,0,College,90,182,82,8.9,11.7,29,0.62,12,2,93,MATLAB,44,54,18027,27,8,0.55,0.59,January,Q4,2024,18,14
Kumaraguru College of Technology,Ishani Iyer 354,Dr. Sunita M.,CHEMICAL,2023-24,2627,9,228,2,159,11,20.0,78,H001,Smart India Hackathon,External,Government,National,Offline,42,71,5,6,22,22,14,2,3,College,64,168,89,6.1,18.4,13,0.76,21,3,57,Python,24,54,26920,36,17,0.46,0.6,January,Q1,2025,13,8
Kumaraguru College of Technology,Manoj Gupta 966,Prof. Lakshmi S.,PETROLEUM,2022-23,3555,9,242,4,182,12,14.0,93,H003,Industry CodeFest,External,Company,State,Online,89,43,3,6,40,6,20,8,2,National,81,107,65,3.8,24.9,30,0.35,39,10,60,Cloud,38,30,17893,55,4,0.84,0.66,July,Q4,2022,25,15
Coimbatore Institute of Technology (CIT),Pranav Das 920,Prof. Ramesh B.,CIVIL,2023-24,2888,9,197,1,69,9,10.3,88,H003,Industry CodeFest,External,Company,State,Online,82,64,5,9,44,23,11,7,3,College,61,116,43,5.5,20.3,22,0.36,38,14,89,MATLAB,57,32,16180,22,7,0.65,0.41,January,Q2,2023,5,9
Thiagarajar College of Engineering,Sanjay Singh 433,Dr. Kavita J.,CSE,2023-24,3751,9,201,3,211,7,18.2,73,H001,Smart India Hackathon,External,Government,National,Online,83,91,22,4,14,9,15,5,3,National,63,177,74,4.3,22.2,35,0.41,7,5,76,Python,27,35,17314,46,8,0.73,0.62,September,Q2,2022,9,7
Anna University,Aditi Singh 758,Prof. Ramesh B.,PHARMACY,2023-24,2665,9,180,2,61,8,19.3,92,H001,Smart India Hackathon,External,Government,National,Offline,73,75,25,4,23,7,22,4,3,,67,74,79,7.7,18.1,32,0.55,10,9,77,Cloud,20,53,18860,32,6,0.84,0.79,July,Q2,2025,25,10
Kumaraguru College of Technology,Pooja Verma 615,Prof. Venkatesh R.,CHEMICAL,2022-23,2805,9,240,1,187,8,11.6,71,H001,Smart India Hackathon,External,Government,National,Online,102,61,12,4,37,11,12,9,3,College,63,43,74,4.6,21.4,25,0.56,9,7,83,Embedded,57,38,21865,32,13,0.54,0.44,March,Q1,2023,18,10
